X1,X2,Y
25,6,0
69,37,1
41,22,0
68,69,0
79,54,1
3,87,0
89,36,0
41,86,0
92,17,0
31,22,0
96,59,0
73,30,0
94,18,0
29,3,0
36,37,0
49,97,0
44,52,1
51,16,0
34,88,0
61,27,0
60,16,0
87,69,0
50,57,1
87,76,0
29,64,0
39,97,0
11,59,0
51,57,1
92,98,0
34,31,0
60,93,0
5,11,0
65,65,1
37,29,0
2,34,0
100,25,0
7,2,0
87,0,0
11,79,0
10,97,0
4,20,0
85,17,0
77,29,0
72,28,0
77,71,0
49,25,0
84,8,0
79,53,1
8,25,0
16,44,0
75,89,0
70,37,1
94,70,0
15,72,0
3,53,0
48,56,1
40,79,0
0,64,0
18,71,0
1,42,0
52,69,0
13,59,0
95,73,0
57,49,1
70,45,1
89,76,0
7,40,0
59,69,1
17,92,0
11,87,0
68,74,0
15,85,0
85,80,0
55,81,0
13,79,0
22,41,0
19,70,0
79,23,0
52,52,1
4,6,0
47,74,0
34,81,0
85,33,0
42,49,1
96,16,0
91,57,0
70,3,0
46,62,1
22,27,0
89,46,0
11,95,0
1,92,0
27,78,0
69,75,0
0,25,0
96,3,0
34,33,0
34,99,0
25,22,0
79,4,0
61,68,1
61,10,0
53,75,0
13,86,0
13,2,0
39,29,0
78,22,0
7,6,0
10,60,0
44,28,0
28,6,0
86,14,0
10,4,0
49,34,1
71,14,0
56,19,0
4,57,0
90,16,0
24,13,0
53,36,1
50,76,0
24,13,0
66,35,1
2,70,0
32,7,0
70,13,0
67,94,0
23,64,0
83,81,0
55,74,0
41,32,0
35,36,0
98,81,0
46,42,1
61,18,0
97,73,0
9,36,0
84,22,0
93,90,0
7,60,0
81,95,0
55,2,0
68,12,0
79,2,0
71,85,0
92,8,0
70,20,0
70,43,1
4,73,0
20,22,0
68,69,0
66,91,0
67,47,1
2,10,0
98,57,0
14,67,0
94,91,0
55,80,0
39,6,0
95,70,0
9,32,0
52,68,1
45,15,0
66,73,0
44,11,0
49,32,0
69,100,0
16,46,0
8,46,0
58,78,0
4,77,0
16,46,0
57,9,0
99,77,0
86,96,0
82,53,0
98,35,0
37,5,0
92,14,0
96,41,0
86,49,0
32,3,0
79,38,0
75,37,1
85,94,0
96,71,0
96,54,0
16,76,0
20,54,0
92,10,0
80,1,0
26,7,0
57,40,1
52,71,0
89,60,0
43,0,0
11,27,0
34,34,0
18,39,0
78,27,0
8,0,0
