X1,X2,Y
10,37,0
95,72,1
77,86,1
18,82,0
0,96,0
64,97,1
0,2,0
3,30,0
41,50,0
49,9,0
46,69,1
3,46,0
82,32,1
15,99,1
76,68,1
13,76,0
79,50,1
84,45,1
59,2,0
11,5,0
45,1,0
63,15,0
71,34,1
17,90,1
38,40,0
11,37,0
24,65,0
19,66,0
87,24,1
20,19,0
79,53,1
69,1,0
28,80,1
41,3,0
80,42,1
3,31,0
43,36,0
8,31,0
1,44,0
22,77,0
54,98,1
84,96,1
70,68,1
26,34,0
17,47,0
38,48,0
71,24,0
93,97,1
80,41,1
52,19,0
11,49,0
35,8,0
8,63,0
2,23,0
92,25,1
50,27,0
51,55,1
18,58,0
21,80,1
69,44,1
20,23,0
33,63,0
7,74,0
53,44,0
31,6,0
36,2,0
93,49,1
39,87,1
10,1,0
10,56,0
74,17,0
9,47,0
71,75,1
51,95,1
4,47,0
20,82,1
98,37,1
34,4,0
1,41,0
17,63,0
41,3,0
85,65,1
49,25,0
39,38,0
84,100,1
58,53,1
48,5,0
7,5,0
35,52,0
100,79,1
21,45,0
67,61,1
77,97,1
92,33,1
31,58,0
95,22,1
13,48,0
13,51,0
37,74,1
22,85,1
62,24,0
76,10,0
87,75,1
36,83,1
36,95,1
66,80,1
67,68,1
70,5,0
58,29,0
28,52,0
79,64,1
30,74,1
10,48,0
23,47,0
90,94,1
48,89,1
24,83,1
32,87,1
70,80,1
79,53,1
38,77,1
19,38,0
77,44,1
92,97,1
88,76,1
0,84,0
84,7,0
62,71,1
71,83,1
29,2,0
37,71,1
74,77,1
93,14,1
50,95,1
28,6,0
73,81,1
47,43,0
47,60,1
19,10,0
93,92,1
76,77,1
60,63,1
50,30,0
97,70,1
28,83,1
87,49,1
22,41,0
25,1,0
50,27,0
8,61,0
51,60,1
13,93,1
55,97,1
98,52,1
20,61,0
57,27,0
100,52,1
9,34,0
55,67,1
61,35,0
54,28,0
7,56,0
17,11,0
86,49,1
32,20,0
93,39,1
63,58,1
92,43,1
34,61,0
0,48,0
38,16,0
15,85,0
81,91,1
53,92,1
91,93,1
43,39,0
46,83,1
20,75,0
74,77,1
38,17,0
86,17,1
23,78,1
31,67,0
31,84,1
57,80,1
6,16,0
93,26,1
19,4,0
80,32,1
73,75,1
60,37,0
53,22,0
63,56,1
8,50,0
1,58,0
19,100,1
83,47,1
84,69,1
36,17,0
74,36,1
55,57,1
